direction,status,num_segments,from,to,account_sid,date_created,date_sent,price_unit,price,body
inbound,received,1,Whatsapp:+353 386 772 7794,+7 514 414 5645,57141,1618732155000,1616962251000,USD,0,Cloned secondary portal
inbound,received,1,Whatsapp:+62 730 756 3789,+249 556 523 2351,80135,1622784894000,1634981618000,USD,0,Decentralized analyzing time-frame
inbound,received,1,Whatsapp:+62 414 727 9839,+62 948 793 8618,94853,1636010151000,1626750999000,USD,0,Managed zero tolerance benchmark
inbound,delivered,1,Whatsapp:+62 751 272 8273,+62 563 514 2939,1374,1625604182000,1634530308000,USD,0,Cloned background architecture
inbound,received,1,Whatsapp:+48 849 356 5029,+86 318 341 8070,71135,1622707068000,1644489044000,USD,0,Managed leading edge definition
inbound,received,1,Whatsapp:+44 278 767 4322,+374 320 336 0596,2646,1638805122000,1634753666000,USD,0,Programmable systematic analyzer
inbound,sent,1,Whatsapp:+54 947 323 6679,+86 422 257 6685,67184,1615497757000,1645554453000,USD,0,Universal multimedia capacity
inbound,received,1,Whatsapp:+353 177 394 6420,+351 714 463 2429,94119,1644766792000,1639818518000,USD,0,Cross-group optimal extranet
inbound,received,1,Whatsapp:+86 959 134 1490,+33 563 270 4304,E9081,1636579190000,1642475829000,USD,0,Profit-focused executive instruction set
inbound,received,1,Whatsapp:+351 530 971 0679,+51 465 588 9162,1750,1629631167000,1639877733000,USD,0,Optional 5th generation open architecture
inbound,read,1,Whatsapp:+1 260 439 0790,+62 162 703 5638,9630,1616520921000,1635980542000,USD,0,Synergistic encompassing hardware
inbound,delivered,1,Whatsapp:+7 789 199 4681,+63 745 823 3238,45184,1640583256000,1629753193000,USD,0,Polarised hybrid encoding
inbound,sent,1,Whatsapp:+62 593 800 4375,+63 389 202 8724,5651,1634260450000,1615957911000,USD,0,Inverse full-range solution
inbound,read,1,Whatsapp:+7 819 578 7424,+86 856 823 8461,52131,1634325346000,1617565075000,USD,0,Sharable scalable hardware
inbound,read,1,Whatsapp:+420 885 554 7064,+63 685 555 6019,E9500,1617094487000,1640632105000,USD,0,Quality-focused coherent installation
inbound,read,1,Whatsapp:+351 714 982 0209,+7 162 717 3762,80000,1615649436000,1631470283000,USD,0,Grass-roots discrete capability
inbound,read,1,Whatsapp:+33 451 178 5301,+7 528 371 6725,1781,1633107828000,1629262172000,USD,0,Self-enabling modular process improvement
inbound,received,1,Whatsapp:+7 335 391 7492,+86 966 866 3192,36925,1636580777000,1641972896000,USD,0,Face to face bottom-line hub
inbound,read,1,Whatsapp:+63 190 968 1767,+48 183 422 5840,47821,1637497511000,1634524487000,USD,0,Reverse-engineered holistic capability
inbound,read,1,Whatsapp:+1 602 770 9799,+63 563 986 7214,31509,1633268880000,1633197912000,USD,0,Integrated secondary customer loyalty
inbound,received,1,Whatsapp:+31 555 763 3575,+47 400 130 1516,63772,1628000757000,1620804212000,USD,0,Adaptive didactic open system
inbound,received,1,Whatsapp:+66 337 908 1556,+86 567 525 0056,71898,1629420735000,1622385461000,USD,0,Down-sized incremental Graphic Interface
inbound,read,1,Whatsapp:+66 459 965 4383,+30 199 408 4714,73004,1644840074000,1626735815000,USD,0,Profound actuating adapter
inbound,received,1,Whatsapp:+86 526 531 5159,+86 388 136 1406,63391,1624723368000,1618343834000,USD,0,Universal 4th generation model
inbound,read,1,Whatsapp:+62 737 919 2365,+7 154 849 1915,94500,1623283439000,1618454886000,USD,0,Extended human-resource customer loyalty
inbound,received,1,Whatsapp:+972 617 420 9341,+66 976 784 5713,37001,1614793209000,1616452910000,USD,0,Focused asynchronous strategy
inbound,received,1,Whatsapp:+86 695 162 3318,+66 111 468 9441,E8430,1620334033000,1643163895000,USD,0,Expanded 6th generation core
inbound,received,1,Whatsapp:+212 593 664 1565,+7 637 723 6789,4161,1636314665000,1644855576000,USD,0,Multi-tiered explicit knowledge base
inbound,received,1,Whatsapp:+84 634 598 4510,+381 645 747 7180,37851,1630875978000,1614961929000,USD,0,Vision-oriented encompassing project
inbound,received,1,Whatsapp:+55 191 622 3938,+81 900 216 3038,59970,1633407664000,1618973776000,USD,0,Re-engineered responsive function
inbound,sent,1,Whatsapp:+86 604 686 3431,+261 742 334 2613,638,1637395867000,1616428008000,USD,0,Adaptive scalable process improvement
inbound,received,1,Whatsapp:+62 330 637 8133,+33 986 351 1930,30789,1619289319000,1614811921000,USD,0,Cross-platform zero tolerance time-frame
inbound,received,1,Whatsapp:+7 851 686 3957,+386 768 669 6796,37852,1641272909000,1641581465000,USD,0.001,Fully-configurable grid-enabled customer loyalty
outbound,received,1,Whatsapp:+63 317 530 3051,+964 721 403 4399,1801,1641950124000,1616052624000,USD,0.001,Proactive zero tolerance pricing structure
outbound,delivered,1,Whatsapp:+86 696 967 9421,+62 416 192 9952,30573,1615992587000,1634421364000,USD,0.001,Polarised even-keeled time-frame
outbound,received,1,Whatsapp:+48 461 706 6231,+62 510 407 4989,37715,1631406477000,1626476494000,USD,0.001,Open-architected content-based success
outbound,read,1,Whatsapp:+82 124 734 5326,+63 353 589 0378,7901,1614708818000,1623790251000,USD,0.001,Total explicit ability
outbound,received,1,Whatsapp:+7 634 273 1548,+57 745 512 6239,64733,1632209273000,1624041653000,USD,0.001,Reactive asynchronous ability
outbound,received,1,Whatsapp:+63 919 124 7372,+420 753 356 8050,E9483,1642148049000,1620642223000,USD,0.001,Open-architected zero defect capacity
outbound,received,1,Whatsapp:+48 661 237 3692,+48 364 919 0685,4211,1626983534000,1617465750000,USD,0.001,Realigned well-modulated open system
outbound,received,1,Whatsapp:+66 750 489 9213,+352 146 890 9431,55101,1638499736000,1639623614000,USD,0.001,Up-sized empowering core
outbound,received,1,Whatsapp:+62 662 712 4527,+62 424 176 0704,5583,1633213502000,1638576404000,USD,0.001,Vision-oriented motivating infrastructure
outbound,received,1,Whatsapp:+51 277 670 7549,+86 790 924 4514,3369,1627723794000,1617290652000,USD,0.001,Persevering stable hierarchy
outbound,read,1,Whatsapp:+7 223 171 7034,+1 805 360 3533,53021,1638095249000,1639293760000,USD,0.001,Self-enabling modular task-force
outbound,sent,1,Whatsapp:+62 669 200 3098,+98 745 261 5117,E8258,1626300511000,1618353625000,USD,0.001,Optimized human-resource software
outbound,received,1,Whatsapp:+86 923 807 4265,+49 450 266 5519,37712,1618521736000,1632763354000,USD,0.001,Visionary context-sensitive knowledge user
outbound,received,1,Whatsapp:+48 181 468 5434,+62 319 969 9025,4243,1641064294000,1627145590000,USD,0.001,Mandatory foreground middleware
outbound,sent,1,Whatsapp:+55 715 516 7805,+1 987 127 8578,30521,1632627760000,1621921467000,USD,0.001,Up-sized attitude-oriented standardization
outbound,delivered,1,Whatsapp:+62 405 478 4538,+689 545 898 0938,69511,1631292947000,1627927622000,USD,0.001,Compatible analyzing groupware
outbound,received,1,Whatsapp:+63 135 837 6834,+86 700 902 1443,59970,1627475797000,1621923371000,USD,0.001,Fully-configurable cohesive customer loyalty
outbound,received,1,Whatsapp:+55 103 397 7598,+86 305 743 5868,32715,1629156424000,1640238271000,USD,0.001,Synergistic incremental encoding
outbound,delivered,1,Whatsapp:+51 204 452 5704,+46 574 257 2598,63570,1634189151000,1618604571000,USD,0.001,User-centric asymmetric matrix
outbound,received,1,Whatsapp:+232 673 216 0409,+56 889 552 0115,29382,1622370293000,1622563006000,USD,0.001,Synchronised encompassing analyzer
outbound,received,1,Whatsapp:+27 577 467 4586,+380 641 295 9690,V032,1620222827000,1641875514000,USD,0.001,Synchronised fault-tolerant leverage
outbound,read,1,Whatsapp:+380 104 386 2354,+86 382 328 3286,2753,1615389656000,1632179976000,USD,0.001,Switchable high-level standardization
outbound,received,1,Whatsapp:+86 703 362 0906,+351 885 225 0559,1131,1624802694000,1621811502000,USD,0.001,Re-engineered multi-tasking customer loyalty
outbound,delivered,1,Whatsapp:+62 715 649 4674,+63 419 632 3583,61182,1640435037000,1624481854000,USD,0.001,Grass-roots 3rd generation policy
outbound,received,1,Whatsapp:+62 217 481 8279,+86 134 196 6578,37804,1616520453000,1616138448000,USD,0.001,Business-focused zero defect internet solution
outbound,received,1,Whatsapp:+86 422 123 1424,+86 924 670 1630,80083,1642672407000,1643801715000,USD,0.001,Visionary cohesive portal
outbound,received,1,Whatsapp:+351 599 258 6121,+31 901 769 4425,E8741,1640798178000,1627677060000,USD,0.001,Optimized scalable superstructure
outbound,delivered,1,Whatsapp:+1 128 658 1810,+48 315 345 8006,2652,1629081101000,1646063798000,USD,0.001,Open-source multi-state flexibility
outbound,received,1,Whatsapp:+58 304 884 7878,+66 356 713 9003,7595,1625514278000,1637770141000,USD,0.001,Assimilated systemic pricing structure
outbound,sent,1,Whatsapp:+86 112 733 8215,+86 285 541 3904,1735,1632393693000,1638086039000,USD,0.001,Vision-oriented regional artificial intelligence
outbound,received,1,Whatsapp:+86 516 621 4823,+86 497 770 0858,52551,1634217275000,1631786572000,USD,0.001,Future-proofed client-server orchestration
outbound,sent,1,Whatsapp:+81 740 621 5808,+51 489 304 8471,8701,1626228995000,1641966788000,USD,0.001,Re-engineered attitude-oriented support
outbound,received,1,Whatsapp:+61 543 973 7226,+86 913 171 3386,76421,1630973906000,1641677198000,USD,0.001,Quality-focused client-driven extranet
outbound,received,1,Whatsapp:+86 681 812 6362,+45 213 869 3622,79508,1623979332000,1626273574000,USD,0.001,Profound multimedia protocol
outbound,received,1,Whatsapp:+63 397 959 9814,+355 977 450 7109,80384,1628461970000,1638954076000,USD,0.001,De-engineered context-sensitive intranet
outbound,received,1,Whatsapp:+86 728 656 7711,+86 999 775 3126,62932,1640861163000,1636732626000,USD,0.001,Down-sized actuating strategy
outbound,received,1,Whatsapp:+86 537 737 9926,+1 314 223 8763,9764,1629737322000,1644517917000,USD,0.001,Secured heuristic Graphic Interface
outbound,received,1,Whatsapp:+66 978 652 2041,+46 761 548 3824,71661,1639664744000,1636349392000,USD,0.001,Business-focused needs-based solution
outbound,delivered,1,Whatsapp:+86 202 159 4375,+234 525 261 9892,35979,1615916305000,1638409995000,USD,0.001,Team-oriented full-range instruction set
outbound,sent,1,Whatsapp:+86 388 944 3796,+236 968 442 7261,53471,1631603013000,1642015431000,USD,0.001,Object-based actuating local area network
outbound,sent,1,Whatsapp:+234 954 832 8476,+505 165 176 4157,30401,1639650842000,1617534085000,USD,0.001,Digitized 6th generation framework
outbound,received,1,Whatsapp:+48 444 660 9040,+48 211 806 2095,3533,1631313476000,1621962177000,USD,0.001,Persevering empowering utilisation
outbound,delivered,1,Whatsapp:+58 742 166 4657,+355 717 166 4525,65181,1624844339000,1624556251000,USD,0.001,Universal stable system engine
outbound,sent,1,Whatsapp:+351 855 524 2621,+7 693 422 7609,490,1633967834000,1640970431000,USD,0.001,Advanced heuristic superstructure
outbound,delivered,1,Whatsapp:+98 189 929 7601,+86 140 442 9634,E8344,1641894135000,1624562104000,USD,0.001,Multi-layered 24/7 application
outbound,received,1,Whatsapp:+51 282 503 2321,+46 148 595 4572,72751,1616652153000,1632010548000,USD,0.001,Organic incremental leverage
outbound,delivered,1,Whatsapp:+33 255 353 4190,+385 803 343 6127,65190,1640736757000,1625820292000,USD,0.001,Fully-configurable maximized support
outbound,read,1,Whatsapp:+62 883 198 2222,+62 355 447 9582,E9329,1634703153000,1636184072000,USD,0.001,Diverse zero administration neural-net
outbound,delivered,1,Whatsapp:+63 792 228 9341,+1 851 706 5608,E0079,1635568968000,1621447254000,USD,0.001,Fully-configurable dynamic hardware
outbound,received,1,Whatsapp:+970 482 758 7516,+1 734 153 6994,36043,1632728556000,1636891620000,USD,0.001,Adaptive bi-directional alliance
